EventNum,Event,Place,Crew,CrewAbbrev,Bow,Stroke,Start,Finish,500m,1000m,1500m,Backup_B,RawTime,PenaltyCode,AdjTime,Delta,Qual,Rank
27,M2- S2,1.0,MSĢ TSV Jūrmala,MSG,5,BLUMBERGS Madars 07/ŠERSTŅOVS Teodors  07,14:45:38.54,14:46:26.00,,,,47.8,00:47.46,,00:47.46,,,
27,M2- S2,2.0,RAK1872,RAK,3,BALTAIS Vidis 73/BRIUKS Mārtiņš 73,14:45:38.54,14:46:27.41,,,,49.1,00:48.87,,00:48.87,00:01.41,,
28,M2- FB,1.0,RAK1872,RAK,3,BALTAIS Vidis 73/BRIUKS Mārtiņš 73,14:51:23.21,14:52:12.07,,,,48.9,00:48.86,,00:48.86,,,
28,M2- FB,2.0,MSĢ TSV Jūrmala,MSG,6,DRENGERS Kristers  07/KŪKOJS Rūdis  08,14:51:23.21,14:52:13.00,,,,49.8,00:49.79,,00:49.79,00:00.93,,
29,M2- FA,1.0,Daugavpils Sporta skola/LOVE,DSS/LOVE,2,AZAREVIČS Rihards 05/FJODOROVS Artūrs 07,14:55:01.84,14:55:47.62,,,,45.7,00:45.78,,00:45.78,,,
29,M2- FA,2.0,MSĢ TSV Jūrmala,MSG,5,BLUMBERGS Madars 07/ŠERSTŅOVS Teodors  07,14:55:01.84,14:55:48.80,,,,47.2,00:46.96,,00:46.96,00:01.18,,
30,W1x T2,1.0,MSĢ TSV Jūrmala,MSG,[14:58] 38,RUMPE Estere 07,14:56:57.58,14:58:01.23,,,,01:03.4,01:03.65,,01:03.65,,,
30,W1x T2,2.0,Jelgavas BJSS,JBJSS,[14:59] 53,PLŪDUMA Marta 09,14:57:47.70,14:58:58.72,,,,01:10.8,01:11.02,,01:11.02,00:07.37,,
31,W1x K1,1.0,MSĢ TSV SASS,SASS,50,FREIMANE Evija 07,15:05:03.55,15:05:57.73,,,,54.2,00:54.18,,00:54.18,,,
31,W1x K1,2.0,Daugavpils Sporta skola,DSS,41,VOLOSOVA Anastasija 09,15:05:03.55,15:06:02.09,,,,58.5,00:58.54,,00:58.54,00:04.36,,
32,W1x K2,1.0,Jelgavas BJSS,JBJSS,45,BONDARE Beāte 08,15:07:22.69,15:08:16.87,,,,54.2,00:54.18,,00:54.18,,,
32,W1x K2,2.0,MSĢ TSV Jūrmala,MSG,36,BIRKĀNE Eva Evalīna 06,15:07:22.69,15:08:18.48,,,,56.0,00:55.79,,00:55.79,00:01.61,,
33,W1x K3,1.0,Jelgavas BJSS,JBJSS,54,SADIGOVA Liāna 08,15:09:32.24,15:10:26.81,,,,54.4,00:54.57,,00:54.57,,,
33,W1x K3,2.0,MSĢ TSV Jūrmala,MSG,52,BATURINA Aurelija 07,15:09:32.24,15:10:28.79,,,,56.4,00:56.55,,00:56.55,00:01.98,,
34,W1x K4,1.0,Jelgavas BJSS,JBJSS,43,BUMBIERE Kristīne 03,15:11:35.33,15:12:32.12,,,,57.0,00:56.79,,00:56.79,,,
34,W1x K4,2.0,Jelgavas BJSS,JBJSS,44,VOVERE Nora 10,15:11:35.33,15:12:35.17,,,,59.9,00:59.84,,00:59.84,00:03.05,,
35,W1x K5,1.0,Daugavpils Sporta skola,DSS,49,SIMANOVIČA Jekaterina 06,15:12:56.43,15:13:50.51,,,,54.1,00:54.08,,00:54.08,,,
35,W1x K5,2.0,MSĢ TSV SASS,SASS,37,INDĀNE Līva 08,15:12:56.43,15:13:53.11,,,,57.0,00:56.68,,00:56.68,00:02.60,,
